Logger,Plot,Timestamp,Variable,Value,Depth_cm
12,Control,2026-06-07T21:00:00Z,Temp,19.24,5
12,Control,2026-06-07T21:00:00Z,PerAirSat,98.2,15
12,Control,2026-06-07T21:00:00Z,Temp,19.24,15
12,Control,2026-06-07T21:00:00Z,PerAirSat,93.4,30
12,Control,2026-06-07T21:00:00Z,Temp,19.24,30
12,Control,2026-06-07T21:00:00Z,PerAirSat,0,50
12,Control,2026-06-07T21:00:00Z,Temp,19.24,50
12,Control,2026-06-07T21:10:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T21:10:00Z,Temp,19.25,5
12,Control,2026-06-07T21:10:00Z,PerAirSat,98,15
12,Control,2026-06-07T21:10:00Z,Temp,19.25,15
12,Control,2026-06-07T21:10:00Z,PerAirSat,93.4,30
12,Control,2026-06-07T21:10:00Z,Temp,19.25,30
12,Control,2026-06-07T21:10:00Z,PerAirSat,0,50
12,Control,2026-06-07T21:10:00Z,Temp,19.25,50
12,Control,2026-06-07T21:20:00Z,PerAirSat,103,5
12,Control,2026-06-07T21:20:00Z,Temp,19.27,5
12,Control,2026-06-07T21:20:00Z,PerAirSat,98.1,15
12,Control,2026-06-07T21:20:00Z,Temp,19.27,15
12,Control,2026-06-07T21:20:00Z,PerAirSat,93.4,30
12,Control,2026-06-07T21:20:00Z,Temp,19.27,30
12,Control,2026-06-07T21:20:00Z,PerAirSat,0,50
12,Control,2026-06-07T21:20:00Z,Temp,19.27,50
12,Control,2026-06-07T21:30:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T21:30:00Z,Temp,19.29,5
12,Control,2026-06-07T21:30:00Z,PerAirSat,98,15
12,Control,2026-06-07T21:30:00Z,Temp,19.29,15
12,Control,2026-06-07T21:30:00Z,PerAirSat,93.4,30
12,Control,2026-06-07T21:30:00Z,Temp,19.29,30
12,Control,2026-06-07T21:30:00Z,PerAirSat,0,50
12,Control,2026-06-07T21:30:00Z,Temp,19.29,50
12,Control,2026-06-07T21:40:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T21:40:00Z,Temp,19.31,5
12,Control,2026-06-07T21:40:00Z,PerAirSat,98,15
12,Control,2026-06-07T21:40:00Z,Temp,19.31,15
12,Control,2026-06-07T21:40:00Z,PerAirSat,93.4,30
12,Control,2026-06-07T21:40:00Z,Temp,19.31,30
12,Control,2026-06-07T21:40:00Z,PerAirSat,0,50
12,Control,2026-06-07T21:40:00Z,Temp,19.31,50
12,Control,2026-06-07T21:50:00Z,PerAirSat,103.2,5
12,Control,2026-06-07T21:50:00Z,Temp,19.34,5
12,Control,2026-06-07T21:50:00Z,PerAirSat,97.9,15
12,Control,2026-06-07T21:50:00Z,Temp,19.34,15
12,Control,2026-06-07T21:50:00Z,PerAirSat,93.4,30
12,Control,2026-06-07T21:50:00Z,Temp,19.34,30
12,Control,2026-06-07T21:50:00Z,PerAirSat,0,50
12,Control,2026-06-07T21:50:00Z,Temp,19.34,50
12,Control,2026-06-07T22:00:00Z,PerAirSat,103.1,5
12,Control,2026-06-07T22:00:00Z,Temp,19.37,5
12,Control,2026-06-07T22:00:00Z,PerAirSat,97.8,15
12,Control,2026-06-07T22:00:00Z,Temp,19.37,15
12,Control,2026-06-07T22:00:00Z,PerAirSat,93.4,30
12,Control,2026-06-07T22:00:00Z,Temp,19.37,30
12,Control,2026-06-07T22:00:00Z,PerAirSat,0,50
12,Control,2026-06-07T22:00:00Z,Temp,19.37,50
12,Control,2026-06-07T22:10:00Z,PerAirSat,103.2,5
12,Control,2026-06-07T22:10:00Z,Temp,19.39,5
12,Control,2026-06-07T22:10:00Z,PerAirSat,97.8,15
12,Control,2026-06-07T22:10:00Z,Temp,19.39,15
12,Control,2026-06-07T22:10:00Z,PerAirSat,93.3,30
12,Control,2026-06-07T22:10:00Z,Temp,19.39,30
12,Control,2026-06-07T22:10:00Z,PerAirSat,0,50
12,Control,2026-06-07T22:10:00Z,Temp,19.39,50
12,Control,2026-06-07T22:20:00Z,PerAirSat,103.2,5
12,Control,2026-06-07T22:20:00Z,Temp,19.41,5
12,Control,2026-06-07T22:20:00Z,PerAirSat,97.8,15
12,Control,2026-06-07T22:20:00Z,Temp,19.41,15
12,Control,2026-06-07T22:20:00Z,PerAirSat,93.2,30
